,학교,과정,결과,via,on,출신,게시날짜,코멘트
69,Duke University,"Biostatistics, PhD (F19)",Rejected,Website,17 Jan 2019,A,18 Jan 2019,
70,Duke University,"Biostatistics, PhD (F19)",Interview,E-mail,18 Jan 2019,A,17 Jan 2019,
71,Duke University,"Biostatistics, PhD (F19)",Interview,E-mail,16 Jan 2019,U,17 Jan 2019,
72,Duke University,"Biostatistics, PhD (F18)",Accepted,E-mail,5 Apr 2018,I,5 Apr 2018,"I was on the waiting list, but I received an admission letter from the graduate school. Thanks for declining!"
73,Duke University,"Biostatistics, PhD (F18)",Other,Other,1 Apr 2018,O,1 Apr 2018,Declined the offer a few days ago. Really love Duke but had to make a choice between Duke and JHU. The faculty has been really good to me. Feeling super guilty. Wanna hear some good news from the waitlisted buddies to make me feel better :(
74,Duke University,"Biostatistics, PhD (F18)",Accepted,Website,8 Mar 2018,I,15 Mar 2018,Also have a full-funding biostat phd offer from JHU. Both schools are among my favorites. Going to make a very tough choice...Good luck to everyone.
75,Duke University,"Biostatistics, PhD (F18)",Wait listed,Website,9 Mar 2018,I,13 Mar 2018,"If you have any better options, please decline it!"
76,Duke,"Biostatstics, Master, Masters (F18)",Wait listed,E-mail,8 Mar 2018,I,10 Mar 2018,"My undergrad Major was Computer engineering, if you don't want to attend, please decline the offer sooner."
77,Duke University,"Biostatistics, PhD (F18)",Accepted,E-mail,8 Mar 2018,U,9 Mar 2018,My dream school!! So excited
78,Duke University,"Biostatiatics, PhD (F18)",Accepted,Website,8 Mar 2018,U,8 Mar 2018,Dream school!! So excited now.
79,Duke University,"Biostatistics, PhD (F18)",Rejected,E-mail,8 Mar 2018,U,8 Mar 2018,Campus visit on Mar 2rd. Got rejection so quickly...
80,Duke University,"Biostatistics, Masters (F18)",Accepted,E-mail,1 Mar 2018,U,1 Mar 2018,"Top 50 Undergraduate, mediocre GPA with more biology background than mathematics background, good GRE, strong rec letters. One of my top choices. Good luck to others as well."
81,Duke University,"Biostatistics, Masters (F18)",Accepted,E-mail,28 Feb 2018,U,1 Mar 2018,
82,Duke University,"Biostatistics, Masters (F18)",Accepted,E-mail,16 Feb 2018,A,20 Feb 2018,"Received a 10,000 scholarship for the first year. If I do well, I will receive another 10,000 for the second year. This is a miracle! I thank God everyday."
83,Duke University,"Biostatistics, Masters (F18)",Accepted,E-mail,16 Feb 2018,A,18 Feb 2018,"I applied to their PhD program but was offered a $20,000/year scholarship to attend their masters program. Will decline"
84,Duke,"Biostatistics, Masters (F18)",Accepted,E-mail,16 Feb 2018,A,16 Feb 2018,"$10,000/year scholarship. 2.5 years of work experience in a research and data office, have taken a few grad classes with 3.75 GPA."
85,Duke University,"Biostatistics, PhD (F18)",Rejected,Website,2 Feb 2018,A,14 Feb 2018,Email to check application website.
86,Duke University,"Biostatistics, PhD (F18)",Rejected,Website,2 Feb 2018,I,4 Feb 2018,
87,Duke University,"Biostatiatics, PhD (F18)",Rejected,Website,3 Feb 2018,U,3 Feb 2018,
88,Duke,"Biostatistics, PhD (F18)",Rejected,E-mail,2 Feb 2018,U,3 Feb 2018,
89,Duke University,"Biostatstics, PhD (F18)",Rejected,Website,3 Feb 2018,U,3 Feb 2018,
90,Duke,"Biostatistics, PhD (F18)",Rejected,Website,2 Feb 2018,U,2 Feb 2018,Received email to check their website.
91,Duke,"Biostatistics, PhD (F18)",Rejected,E-mail,2 Feb 2018,U,2 Feb 2018,got email to check result via its self-service website.
92,Duke University,"Biostatistics, PhD (F18)",Rejected,Website,2 Feb 2018,I,2 Feb 2018,Got an email to check website...
93,Duke University,"Biostatistics, PhD (F18)",Rejected,Website,2 Feb 2018,A,2 Feb 2018,
94,Duke Univeraity,"Biostatistics, PhD (F18)",Interview,E-mail,2 Feb 2018,U,2 Feb 2018,Excited.
95,Duke,"Biostatistics, PhD (F18)",Other,Other,2 Feb 2018,I,2 Feb 2018,Duke biostats poster would like to hear more of profile if you visit maths forum
96,Duke University,"Biostatistics, PhD (F18)",Interview,E-mail,1 Feb 2018,I,2 Feb 2018,Correction to the Date of Notification of the previous post... Live in UK and not familiar with American date format...
97,Duke University,"Biostatistics, PhD (F18)",Interview,E-mail,2 Jan 2018,I,2 Feb 2018,"Invitation to a campus visit and interview. Mentioned as one of the highest ranked applicants, not sure if it means sth. good..."
98,Duke University,"Biostatist​ics, PhD (F18)",Other,E-mail,1 Feb 2018,U,1 Feb 2018,Campus Visit Day Inivitation
99,Duke University,"Biostatistics (MS), Masters (F17)",Rejected,E-mail,23 Mar 2017,A,30 Mar 2017,"Was told on 3/30 that although I'm qualified, they'd filled limited avail. spots. Letter attached in email was dated 3/23."
100,Duke,"Biostatistics, PhD (F17)",Accepted,Website,11 Mar 2017,U,11 Mar 2017,
101,Duke University,"Biostatistics, PhD (F17)",Wait listed,Website,10 Mar 2017,I,10 Mar 2017,Sad
102,Duke University,"Biostatistics, PhD (F17)",Wait listed,E-mail,10 Mar 2017,I,10 Mar 2017,"Invited 22 of us to interview, but they are only going to accept 4... So difficult!"
103,Duke University,"Biostatistics, Masters (F17)",Accepted,E-mail,23 Feb 2017,I,23 Feb 2017,
104,Duke,"Biostatistics, Masters (F17)",Accepted,E-mail,21 Feb 2017,U,23 Feb 2017,so exciting!
105,Duke University,"Biostatistics, Masters (F17)",Accepted,E-mail,21 Feb 2017,U,21 Feb 2017,
106,Duke,"Biostatistics, PhD (F17)",Rejected,E-mail,13 Feb 2017,A,14 Feb 2017,"Received email to check the website. BSE in Biomed Eng, MPH in Biostat, 3 years work experience, and 3 co-authored pubs but not so great GRE. Good luck folks!"
107,Duke University,"Biostatistics, PhD (F17)",Rejected,Website,9 Feb 2017,,10 Feb 2017,
108,Duke,"Biostatistics, PhD (F17)",Rejected,E-mail,9 Feb 2017,A,9 Feb 2017,
109,Duke Univerisity,"Biostatistics, PhD (F17)",Rejected,E-mail,9 Feb 2017,,9 Feb 2017,"Lottery, right?"
110,Duke,"Biostatist​ics, PhD (F17)",Rejected,E-mail,9 Feb 2017,U,9 Feb 2017,
111,Duke University,"Biostatiatics, PhD (F17)",Interview,E-mail,6 Feb 2017,U,7 Feb 2017,
112,Duke University,"Biostatistics, PhD (F17)",Interview,E-mail,6 Feb 2017,A,7 Feb 2017,
113,Duke,"Biostatistics, PhD (F17)",Interview,E-mail,7 Feb 2017,U,7 Feb 2017,
114,Duke University,"Biostatistics, PhD (F16)",Wait listed,E-mail,25 Mar 2016,A,27 Mar 2016,E-Mailed about change in status; directed to check applicant portal.
115,Duke University,"Biostatistics, Masters (F16)",Rejected,E-mail,23 Mar 2016,A,25 Mar 2016,
116,Duke University,"Biostatistics, PhD (S16)",Rejected,E-mail,16 Mar 2016,,16 Mar 2016,
117,Duke University,"Biostatiatics, PhD (F16)",Rejected,E-mail,16 Mar 2016,U,16 Mar 2016,
118,Duke,"Biostatistics, PhD (F16)",Accepted,E-mail,10 Mar 2016,A,11 Mar 2016,
119,Duke University,"Biostatistics, PhD (F16)",Accepted,E-mail,11 Mar 2016,U,11 Mar 2016,
120,Duke University,"Biostatistics (MS), Masters (F16)",Accepted,E-mail,8 Mar 2016,I,10 Mar 2016,Very Probably without scholarship.
121,Duke,"Biostatistics, Masters (F16)",Accepted,E-mail,8 Mar 2016,A,8 Mar 2016,"Email w/ 10k scholarship. Several publications, years of research, good LoRs and statement. Note low quant GRE--it's possible to overcome that! :)"
122,Duke,"Biostatistics, Masters (F16)",Accepted,E-mail,7 Mar 2016,A,7 Mar 2016,"Email admitting me to the Master's program, after being rejected from the PhD program.  After my initial rejection, they asked if I wanted to be considered for the Master's program, and I said no but they still considered me."
123,Duke,"Biostatistics, Masters (F16)",Accepted,E-mail,2 Mar 2016,A,5 Mar 2016,"Rejected from PhD, and accepted into the Master's program with partial scholarship."
124,Duke,"Biostatistics, Masters (F16)",Accepted,E-mail,4 Mar 2016,I,4 Mar 2016,
125,Duke,"Biostatistics, Masters (F16)",Accepted,E-mail,4 Mar 2016,A,4 Mar 2016,
126,Duke University,"Biostatistics, Masters (F16)",Accepted,E-mail,2 Mar 2016,A,3 Mar 2016,"Rejected from PhD, admitted to Master's with partial scholarship."
127,Duke University,"Biostatistics, PhD (F16)",Interview,E-mail,8 Feb 2016,A,21 Feb 2016,Visit/Interview
128,Duke,"Biostatistics, PhD (F16)",Other,Other,17 Feb 2016,I,17 Feb 2016,"To the poster below. Is anyone being invited to campus visit on March 4? If someone has received the offer and don't want to attend, please decline it asap. Thank you very much!"
129,Duke Univerisity,"Biostatisics, PhD (F16)",Rejected,E-mail,10 Feb 2016,I,11 Feb 2016,
130,Duke Univerisity,"Biostatistics, PhD (F16)",Rejected,Website,9 Feb 2016,A,10 Feb 2016,
131,Duke University,"Biostatistics, PhD (F16)",Rejected,Website,9 Feb 2016,A,9 Feb 2016,
132,Duke University,"Biostatistics, PhD (F16)",Rejected,E-mail,9 Feb 2016,,9 Feb 2016,
133,Duke University,"Biostatistics, Masters (F15)",Accepted,E-mail,25 Mar 2015,U,25 Mar 2015,$5000 scholarship
134,Duke University,"Biostatistics, Masters (F15)",Accepted,E-mail,13 Mar 2015,U,16 Mar 2015,
135,Duke University,"Biostatistics, Masters (F15)",Accepted,E-mail,13 Mar 2015,U,13 Mar 2015,
136,Duke,"Biostatistics, Masters (F15)",Accepted,E-mail,13 Mar 2015,U,13 Mar 2015,"5k/year scholarship, paid visit.  Not sure if I'm going, but very excited!"
137,Duke University,"Biostatistics, PhD (F15)",Rejected,E-mail,11 Mar 2015,U,11 Mar 2015,
138,Duke,"Biostatistics, PhD (F15)",Accepted,E-mail,10 Mar 2015,A,10 Mar 2015,
139,Duke,"Biostatistics, PhD (F15)",Rejected,E-mail,6 Mar 2015,U,6 Mar 2015,
140,Duke,"Biostatistics, PhD (F15)",Rejected,E-mail,5 Mar 2015,U,5 Mar 2015,
141,Duke University,"Biostatistics, PhD (F15)",Rejected,E-mail,5 Mar 2015,U,5 Mar 2015,
142,Duke University,"Biostatistics, PhD (F15)",Interview,E-mail,27 Jan 2015,A,28 Jan 2015,
143,Duke,"Biostatistics, PhD (F15)",Interview,E-mail,27 Jan 2015,A,27 Jan 2015,
144,Duke University,"Biostatistics, Masters (F14)",Other,E-mail,3 Apr 2014,O,3 Apr 2014,"To the poster below - I just declined the offer, as I will be attending another school. I really hope you get in!"
145,Duke University,"Biostatistics, Masters (F14)",Wait listed,E-mail,12 Mar 2014,A,3 Apr 2014,I've been waitlisted here for a bit and it would make my life if I could be accepted. Great fit and program. Please let them know ASAP if you plan on declining this offer - thanks!
146,Duke University,"Biostatistics, Masters (F14)",Accepted,Phone,6 Mar 2014,A,7 Mar 2014,Call from department chair
147,Duke,"Biostatistics, Masters (F13)",Wait listed,E-mail,27 Mar 2013,I,30 Mar 2013,"Got waitlisted. If anybody decides not to go there, please email the program so that it is possible that I can be admitted. Thanks!"
148,Duke Univ.,"Biostatistics, Masters (F13)",Accepted,E-mail,27 Mar 2013,I,27 Mar 2013,Too expansive. Dream school but not going. T T
149,Duke,"Biostatistics, Masters (F13)",Accepted,Phone,21 Mar 2013,U,21 Mar 2013,just interviewed this morning and got accepted tonight. sooooooooo excited!!!!
150,Duke University,"Biostatistics, Masters (F13)",Accepted,Phone,16 Mar 2013,A,16 Mar 2013,
151,Duke,"Biostatistics, Masters (F13)",Interview,E-mail,12 Mar 2013,U,15 Mar 2013,
152,Duke University,"Biostatistics, Masters (F13)",Interview,E-mail,13 Mar 2013,I,14 Mar 2013,This is Master in Biostatistics Program. There was no interview last year. Is here anybody who also got the interview notice?
